,Compound Name,Physical Parameter,Dimensions,Temporal Shape,Spatial Shape,Cell Methods,Cell Measures,Dimensions (from Spatial Shape),Dimensions (from Temporal Shape),CMIP7_branded_variable_name
522,CFmon.clmodisliquid,clmodisliquid,"longitude, latitude, plev7c, tau, time",time-intv,Global field (7 pressure levels),area: time: mean,area: areacella,"longitude,latitude,plev7c",time,clmodisliquid_ti-p7c-hxy-u
523,CFmon.clmodisliquidReff,clmodisliquidReff,"longitude, latitude, effectRadLi, tau, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,clmodisliquidReff_ti-u-hxy-u
524,CFmon.cls,cls,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,cls_ti-l-hxy-u
525,CFmon.cltcalipso,cltcalipso,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,cltcalipso_ti-u-hxy-u
526,CFmon.cltisccp,cltisccp,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,cltisccp_ti-u-hxy-u
527,CFmon.cltmodis,cltmodis,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,cltmodis_ti-u-hxy-u
528,CFmon.clwc,clwc,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,clwc_ti-l-hxy-u
529,CFmon.clws,clws,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,clws_ti-l-hxy-u
530,CFmon.clwvimodis,clwvimodis,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,clwvimodis_ti-u-hxy-u
531,CFmon.dmc,dmc,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,dmc_ti-l-hxy-u
532,CFmon.edt,edt,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,edt_ti-l-hxy-u
533,CFmon.evu,evu,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,evu_ti-l-hxy-u
534,CFmon.hur,hur,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,hur_ti-l-hxy-u
535,CFmon.hus,hus,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,hus_ti-l-hxy-u
536,CFmon.mcd,mcd,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,mcd_ti-l-hxy-u
537,CFmon.mcu,mcu,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,mcu_ti-l-hxy-u
