variable_names,cell_methods,dimensions,branded_label-spreadsheet,branded_label-following_spreadsheet,matching
prc,area: time: mean,longitude latitude time,prc_tavg-z0-hxy-x,prc_tavg-z0-hxy-x,True
prc,area: mean time: point,longitude latitude time1,prc_tpt-z0-hxy-x,prc_tpt-z0-hxy-x,True
prc,area: time: mean,longitude latitude time,prc_tavg-z0-hxy-x,prc_tavg-z0-hxy-x,True
prc,area: time: mean,longitude latitude time,prc_tavg-z0-hxy-x,prc_tavg-z0-hxy-x,True
prc,area: mean time: point,longitude latitude time1,prc_tpt-z0-hxy-x,prc_tpt-z0-hxy-x,True
prc,area: point time: point,site time1,prc_tpt-z0-hxys-x,prc_tpt-z0-hxys-x,True
prrc,area: mean time: point,longitude latitude alevhalf time1,prrc_tpt-l-hxy-x,prrc_tpt-l-hxy-x,True
prrc,area: time: mean,longitude latitude time,prrc_tavg-z0-hxy-x,prrc_tavg-z0-hxy-x,True
prrc,area: mean where land time: mean,longitude latitude time,prrc_tavg-z0-hxy-lnd,prrc_tavg-z0-hxy-lnd,True
prsnc,area: time: mean,longitude latitude time,prsnc_tavg-z0-hxy-x,prsnc_tavg-z0-hxy-x,True
prsnc,area: mean time: point,longitude latitude alevhalf time1,prsnc_tpt-l-hxy-x,prsnc_tpt-l-hxy-x,True
prsnc,area: mean time: mean,longitude latitude time,prsnc_tavg-z0-hxy-x,prsnc_tavg-z0-hxy-x,True
vt,longitude: mean time: mean,latitude time p100,vt_tavg-p0100-hy-x,vt_tavg-p0100-hy-x,True
dmlt,"area: time: mean where unfrozen_soil (at the surface, but frozen below the surface)",longitude latitude time stempzero,dmlt_tavg-z0-hxy-ufs,dmlt_tavg-z0-hxy-ufs,True
zo2min,area: mean where sea time: mean,longitude latitude time,zo2min_tavg-z0-hxy-sea,zo2min_tavg-z0-hxy-sea,True
zfullo,area: mean where sea time: mean,longitude latitude olevel time,zfullo_tavg-l-hxy-sea,zfullo_tavg-l-hxy-sea,True
zfullo,area: mean where sea time: mean within years time: mean over years,longitude latitude olevel time2,zfullo_tcla-l-hxy-sea,zfullo_tcla-l-hxy-sea,True
zfullo,area: mean where sea time: mean,longitude latitude olevel time,zfullo_tavg-l-hxy-sea,zfullo_tavg-l-hxy-sea,True
zhalfo,area: mean where sea time: mean,longitude latitude olevhalf time,zhalfo_tavg-l-hxy-sea,zhalfo_tavg-l-hxy-sea,True
zhalfo,area: mean where sea time: mean within years time: mean over years,longitude latitude olevhalf time2,zhalfo_tcla-l-hxy-sea,zhalfo_tcla-l-hxy-sea,True
t20d,area: mean where sea time: mean,longitude latitude time,t20d_tavg-z0-hxy-sea,t20d_tavg-z0-hxy-sea,True
t20d,area: mean where sea time: mean,longitude latitude time,t20d_tavg-z0-hxy-sea,t20d_tavg-z0-hxy-sea,True
tdps,area: time: mean,longitude latitude time height2m,tdps_tavg-h02-hxy-x,tdps_tavg-h02-hxy-x,True
tdps,area: time: mean,longitude latitude time height2m,tdps_tavg-h02-hxy-x,tdps_tavg-h02-hxy-x,True
sidivvel,area: mean where sea_ice time: point,longitude latitude time1,sidivvel_tpt-z0-hxy-si,sidivvel_tpt-z0-hxy-si,True
hfdsnb,area: mean where land time: mean,longitude latitude time,hfdsnb_tavg-z0-hxy-lnd,hfdsnb_tavg-z0-hxy-lnd,True
qgwr,area: mean where land time: mean,longitude latitude time,qgwr_tavg-z0-hxy-lnd,qgwr_tavg-z0-hxy-lnd,True
sfdsi,area: mean where sea time: mean,longitude latitude time,sfdsi_tavg-z0-hxy-sea,sfdsi_tavg-z0-hxy-sea,True
sfdsi,area: mean where sea time: mean,longitude latitude time,sfdsi_tavg-z0-hxy-sea,sfdsi_tavg-z0-hxy-sea,True
sfdsi,area: time: mean where sea_ice,longitude latitude time,sfdsi_tavg-z0-hxy-si,sfdsi_tavg-z0-hxy-si,True
tauuo,area: mean where sea time: mean,longitude latitude time,tauuo_tavg-z0-hxy-sea,tauuo_tavg-z0-hxy-sea,True
tauuo,area: mean where sea time: mean,longitude latitude time,tauuo_tavg-z0-hxy-sea,tauuo_tavg-z0-hxy-sea,True
tauucorr,area: mean where sea time: mean,longitude latitude time,tauucorr_tavg-z0-hxy-sea,tauucorr_tavg-z0-hxy-sea,True
tauvo,area: mean where sea time: mean,longitude latitude time,tauvo_tavg-z0-hxy-sea,tauvo_tavg-z0-hxy-sea,True
tauvo,area: mean where sea time: mean,longitude latitude time,tauvo_tavg-z0-hxy-sea,tauvo_tavg-z0-hxy-sea,True
tauvcorr,area: mean where sea time: mean,longitude latitude time,tauvcorr_tavg-z0-hxy-sea,tauvcorr_tavg-z0-hxy-sea,True
rldbnd,area: point,alevhalf spectband ,rldbnd_ti-l-hm-x,rldbnd_ti-l-hm-x,True
rld,area: time: mean,longitude latitude alevhalf time,rld_tavg-l-hxy-x,rld_tavg-l-hxy-x,True
rld,area: point time: point,alevhalf site time1,rld_tpt-l-hxys-x,rld_tpt-l-hxys-x,True
rld4co2,area: time: mean,longitude latitude alevhalf time,rld4co2_tavg-l-hxy-x,rld4co2_tavg-l-hxy-x,True
rldcs,area: time: mean,longitude latitude alevhalf time,rldcs_tavg-l-hxy-x,rldcs_tavg-l-hxy-x,True
rldcs,area: point time: point,alevhalf site time1,rldcs_tpt-l-hxys-x,rldcs_tpt-l-hxys-x,True
